comuna,Poblacion 2025,nombre_comuna,sum,presupuesto_persona
7308,32128,Teno,7022226747.0,218570.0
7309,4294,Vichuquén,2934721684.0,683447.0
7401,104584,Linares,9415868730.0,90032.0
7402,23693,Colbún,6206667505.0,261962.0
7403,33862,Longaví,7035143954.0,207759.0
7404,45810,Parral,9180569268.0,200405.0
7405,21584,Retiro,5076448330.0,235195.0
7406,51949,San Javier,10025437392.0,192986.0
7407,18159,Villa Alegre,2994847025.0,164924.0
7408,19940,Yerbas Buenas,3849628090.0,193061.0
8101,240075,Concepción,26375069027.0,109862.0
8102,129584,Coronel,17262649594.0,133216.0
8103,92106,Chiguayante,11603011173.0,125975.0
8104,11876,Florida,2773964026.0,233577.0
8105,26850,Hualqui,3693632540.0,137565.0
8106,45329,Lota,6490954342.0,143197.0
8107,50248,Penco,5920388859.0,117823.0
8108,155071,San Pedro de la Paz,12738962858.0,82149.0
8109,14907,Santa Juana,2322089865.0,155772.0
8110,158114,Talcahuano,19330655842.0,122258.0
8111,59222,Tomé,9603580812.0,162162.0
8112,98189,Hualpén,16813346509.0,171235.0
8201,27153,Lebu,5985192544.0,220425.0
8202,38986,Arauco,9154545954.0,234816.0
8203,37530,Cañete,8390459327.0,223567.0
8204,6359,Contulmo,635783823.0,99982.0
8205,33942,Curanilahue,4971017295.0,146456.0
8206,23046,Los Alamos,3765786136.0,163403.0
8207,11120,Tirúa,4608438296.0,414428.0
8301,224828,Los Angeles,25227556538.0,112208.0
8302,4328,Antuco,1151280017.0,266007.0
8303,31172,Cabrero,5758998543.0,184749.0
8304,23924,Laja,8636549375.0,360999.0
8305,31130,Mulchén,4918989796.0,158014.0
8306,28040,Nacimiento,4887007250.0,174287.0
8307,10599,Negrete,2328437389.0,219685.0
8308,4178,Quilaco,2358620889.0,564533.0
8309,9973,Quilleco,3475395826.0,348480.0
8310,3539,San Rosendo,2093562602.0,591569.0
8311,14687,Santa Bárbara,3086050511.0,210121.0
8312,15477,Tucapel,2790745739.0,180316.0
8313,22216,Yumbel,3944722730.0,177562.0
8314,6818,Alto Biobío,1521328717.0,223134.0
9101,311135,Temuco,47730462152.0,153408.0
9102,25516,Carahue,4630327361.0,181468.0
9103,18068,Cunco,2886929201.0,159781.0
9104,7885,Curarrehue,1908582440.0,242052.0
9105,25485,Freire,4693871502.0,184182.0
9106,12548,Galvarino,3358014648.0,267614.0
9107,15054,Gorbea,3244804920.0,215544.0
9108,42133,Lautaro,10128796623.0,240401.0
9109,24783,Loncoche,6666957595.0,269013.0
9110,6328,Melipeuco,2253933930.0,356184.0
9111,34218,Nueva Imperial,5663823157.0,165522.0
9112,86093,Padre Las Casas,11600934508.0,134749.0
9113,7276,Perquenco,3125419576.0,429552.0
9114,26730,Pitrufquén,5532072134.0,206961.0
9115,30901,Pucón,11987718801.0,387940.0
9116,12630,Saavedra,3040880655.0,240766.0
9117,15728,Teodoro Schmidt,3395626620.0,215897.0
9118,9909,Toltén,3254903422.0,328480.0
9119,33260,Vilcún,6093169710.0,183198.0
9120,61009,Villarrica,11351693007.0,186066.0
9121,12707,Cholchol,2024733111.0,159340.0
9201,56934,Angol,11552687558.0,202914.0
9202,26638,Collipulli,785775956.0,29498.0
9203,18209,Curacautín,4365075040.0,239721.0
9204,8366,Ercilla,2075329220.0,248067.0
9205,11119,Lonquimay,3176951450.0,285723.0
9206,7459,Los Sauces,3055900810.0,409693.0
9207,9887,Lumaco,3393230732.0,343201.0
9208,12069,Purén,2607341355.0,216036.0
9209,11036,Renaico,3145430190.0,285015.0
9210,19249,Traiguén,5109399847.0,265437.0
9211,35556,Victoria,9349620298.0,262955.0
10101,283552,Puerto Montt,31277479085.0,110306.0
10102,37813,Calbuco,4656249278.0,123139.0
10103,3932,Cochamó,1422729747.0,361834.0
10104,12551,Fresia,1798599558.0,143303.0
10105,20951,Frutillar,2687240237.0,128263.0
10106,17832,Los Muermos,4228581843.0,237134.0
10107,18912,Llanquihue,1615177140.0,85405.0
10108,14697,Maullín,4143115836.0,281902.0
10109,51951,Puerto Varas,10386045107.0,199920.0
10201,48955,Castro,8012970760.0,163680.0
10202,42531,Ancud,6227256146.0,146417.0
10203,16324,Chonchi,3094476571.0,189566.0
10204,4151,Curaco de Vélez,2344526540.0,564810.0
10205,15546,Dalcahue,3117661575.0,200544.0
10206,4184,Puqueldón,1676401453.0,400670.0
10207,5539,Queilén,1513208270.0,273192.0
10208,30320,Quellón,2641414898.0,87118.0
10209,8741,Quemchi,2743215205.0,313833.0
10210,8159,Quinchao,2784819884.0,341319.0
10301,176896,Osorno,31387005634.0,177432.0
10302,9025,Puerto Octay,2510045600.0,278121.0
10303,20937,Purranque,5619756203.0,268413.0
10304,11823,Puyehue,3182217726.0,269155.0
10305,14037,Río Negro,2482352725.0,176844.0
10306,7379,San Juan de la Costa,2440855253.0,330784.0
10307,10522,San Pablo,1927685196.0,183205.0
10401,5094,Chaitén,2603060781.0,511005.0
10402,2938,Futaleufú,531850711.0,181025.0
10403,9605,Hualaihué,2075621756.0,216098.0
10404,1824,Palena,1755320710.0,962347.0
11101,62193,Coihaique,12270870993.0,197303.0
11102,912,Lago Verde,633673237.0,694817.0
11201,25250,Aisén,5642981059.0,223484.0
11202,5878,Cisnes,2221395657.0,377917.0
11203,1612,Guaitecas,445569161.0,276408.0
11301,3751,Cochrane,1913642805.0,510169.0
11302,679,O'Higgins,2618798228.0,3856846.0
11303,586,Tortel,1356875505.0,2315487.0
11401,5169,Chile Chico,1591730348.0,307938.0
11402,2714,Río Ibáñez,1874798586.0,690788.0
12101,146465,Punta Arenas,11131665217.0,76002.0
12102,246,Laguna Blanca,704939442.0,2865607.0
12103,202,Río Verde,1674184518.0,8288042.0
12104,644,San Gregorio,1327307214.0,2061036.0
12201,1963,Cabo de Hornos,1588994614.0,809473.0
12301,7697,Porvenir,184433351.0,23962.0
12302,669,Primavera,638105087.0,953819.0
12303,274,Timaukel,1454829645.0,5309597.0
12401,24809,Natales,2114283682.0,85222.0
12402,1093,Torres del Paine,1237130653.0,1131867.0
13101,552151,Santiago,49086407766.0,88900.0
13102,90268,Cerrillos,9101066026.0,100823.0
13103,138677,Cerro Navia,15761163209.0,113654.0
13104,135654,Conchalí,11483288039.0,84651.0
13105,169168,El Bosque,23537023086.0,139134.0
13106,223849,Estación Central,14128481084.0,63116.0
13107,119487,Huechuraba,22386839250.0,187358.0
13108,155387,Independencia,12908024281.0,83070.0
13109,101398,La Cisterna,5740327053.0,56612.0
